timestamp,emg1,emg2,emg3,emg4,emg5,emg6,emg7,emg8
51369568237,-1,-2,1,-2,-3,0,-1,-1
51369568237,-1,-2,-1,-1,0,0,1,-1
51369590623,-1,0,-3,-2,4,2,0,-1
51369590623,1,0,0,-1,-6,-3,-2,-1
51369591368,-1,0,0,-1,1,1,2,0
51369591368,-1,0,-2,2,1,1,-2,-1
51369604915,-1,1,0,-4,2,-1,-2,-1
51369604915,-1,0,0,0,2,0,0,-1
51369605727,-1,-4,0,1,0,-1,-1,2
51369605727,-2,-2,-2,-2,-4,-2,-1,-2
51369627616,1,-1,-2,-4,-4,-3,0,-1
51369627616,-1,-3,1,1,5,2,-1,-1
51369628210,-2,-1,1,8,4,0,-3,-2
51369628210,-1,1,-2,-5,-4,-1,-2,-1
51369643977,-1,-1,0,0,-1,-1,-1,0
51369643977,-1,-1,0,-1,-2,-2,-3,-3
51369644904,1,0,-2,-3,-3,-1,-1,-1
51369644904,0,-1,-1,-3,-1,-1,0,1
51369664924,0,1,-1,-2,-2,-1,-1,-1
51369664924,-1,-1,-2,2,0,-1,-2,-1
51369665680,-1,0,-1,0,2,0,-1,-1
51369665680,-2,-1,-1,-4,-6,-3,-2,-1
51369687441,0,-2,-1,-6,-5,-2,-1,0
51369687441,-1,-2,-1,4,3,-1,0,-1
51369688222,-1,1,-1,-3,0,-1,-1,-2
51369688222,0,0,0,0,-3,-3,-2,0
51369703983,-2,-1,0,-1,-1,2,-1,-2
51369703983,-1,1,-3,-1,1,-1,1,-1
51369704743,0,0,0,-4,-6,-3,-2,-1
51369704743,-1,0,1,4,1,0,-2,-2
51369724995,-1,-1,-1,-2,-3,-2,0,-1
51369724995,-1,-1,-1,5,4,1,-1,-2
51369725638,-1,-1,-3,-6,-7,-2,-3,-1
51369725638,-2,0,0,-1,1,1,-1,-1
51369747423,0,-2,0,0,1,-1,1,0
51369747423,1,0,-1,-4,-7,-2,-1,1
51369748216,-1,-1,-2,-1,2,-2,-1,-1
51369748216,0,-2,0,0,2,0,-1,0
51369761862,-1,-1,-3,-1,-2,-2,0,-3
51369761862,-2,-1,-1,-2,0,0,-3,-2
51369769999,0,-1,-1,-1,-2,-3,1,0
51369769999,0,-2,-1,-3,-1,-1,1,0
51369793099,-1,-2,0,-1,1,1,-2,-1
51369793099,-2,1,-1,-2,0,1,-1,-2
51369793938,0,0,0,3,3,0,-1,-2
51369793938,-1,-1,-2,-8,-7,0,0,-3
51369815609,-1,-3,0,4,0,-2,-3,-1
51369815609,-1,-1,-1,-7,-5,-2,1,2
51369816414,-1,-2,-1,-1,1,1,1,-1
51369816414,-3,-4,1,3,4,1,-2,-3
51369821811,0,2,-3,2,0,1,0,-3
51369821811,0,-1,-1,0,0,-1,-1,-2
51369829994,-1,-2,-1,-6,-7,-3,-1,0
51369829994,1,-1,-2,-1,0,-1,0,2
51369844980,-1,-1,1,1,4,0,-1,-1
51369844980,-2,-2,-1,2,0,-1,-2,-3
51369845688,-2,0,-2,-5,1,0,-1,-4
51369845688,0,0,-3,3,-3,-2,0,-1
51369867451,-1,0,-2,0,0,-2,-3,-2
51369867451,-2,-1,0,1,1,0,-1,-2
51369868225,-1,-3,-1,2,4,0,0,0
51369868225,1,0,-2,-7,-5,-2,-2,0
51369881780,-2,-3,0,0,-1,-1,0,0
51369881780,1,2,-1,2,0,-2,-1,-1
51369889943,-1,-2,1,-2,-3,0,-1,0
51369889943,-2,-1,-1,-1,0,-2,-1,-2
51369905183,0,0,-3,-4,-2,0,-2,-2
51369905183,-3,-3,-1,1,0,-1,1,0
51369905751,-1,1,-3,-1,-1,0,0,0
51369905751,-3,-1,1,1,0,-1,-3,-3
51369927423,-1,0,-1,-1,-4,-2,1,-1
51369927423,1,-1,0,0,-1,0,-2,1
51369928225,0,1,-1,1,0,-1,-1,-2
51369928225,0,0,-1,-4,-2,-1,-1,-2
51369943236,-1,-1,0,0,2,0,1,0
51369943236,0,-3,-2,-1,2,1,-1,-2
51369950006,-3,-3,0,-3,-5,-2,-1,0
51369950006,-1,1,-2,2,3,0,1,-3
51369965007,3,4,-4,-3,-5,-3,-2,1
51369965007,0,-1,0,0,0,-1,-1,0
51369965731,0,-1,-1,-5,-2,-2,1,-1
51369965731,-3,-2,0,3,3,0,1,0
51369987206,0,-1,-1,-9,-8,-3,-4,-3
51369987206,-2,0,-2,2,-1,1,-1,-1
51369994966,0,-2,-2,6,1,-2,-2,-2
51369994966,-1,-2,-1,-5,-1,-1,-1,-1
51370001758,-1,-1,0,4,3,1,1,-2
51370001758,-1,0,-2,-6,-4,-3,-1,-1
51370017653,1,-3,2,3,3,0,0,-1
51370017653,0,-1,-2,0,-1,-1,-2,-1
51370024955,-1,-2,-1,-4,-1,0,-1,-1
51370024955,-1,-1,0,0,1,-1,-2,-1
51370025699,-2,0,-1,-2,-5,-3,0,-3
51370025699,1,-1,0,-1,-2,-3,0,0
51370047393,1,-2,-3,-4,-3,-1,1,2
51370047393,-1,-1,1,8,6,0,-3,-1
51370048178,-2,-1,-1,-7,-9,-1,-2,-2
51370048178,-1,0,-2,-2,-1,-3,-1,1
51370070809,-4,-2,0,3,3,0,-1,-3
51370070809,-2,0,-2,-2,0,-1,0,0
51370071409,-2,-1,-2,-2,-1,0,-1,0
51370071409,3,-1,-1,-1,-3,0,0,0
51370093098,0,0,2,4,2,-2,-2,-1
51370093098,1,2,-1,-3,-5,-3,-1,0
51370093868,0,-1,-2,0,3,1,-1,0
51370093868,0,0,-3,-5,-4,-1,-2,0
51370107464,-2,-1,-1,0,-1,0,-1,-2
51370107464,-2,-2,-2,-3,-3,-1,1,-1
51370108326,1,-1,1,-2,4,-3,-1,-2
51370108326,-2,0,-2,3,-6,-3,-3,-3
51370123314,0,-1,-1,-2,-4,-1,-2,-2
51370123314,-1,-1,-1,2,0,0,1,-2
51370129988,-2,0,-3,-3,0,1,-2,-1
51370129988,-2,-2,2,0,1,0,0,1
51370144906,-3,-1,-1,0,1,-2,0,2
51370144906,-2,0,-3,-6,-4,-1,-1,0
