timestamp,x,y,z
51451081034,26.1875,12.3125,-13.1875
51451104268,15.75,14.1875,-11.875
51451126740,22.9375,17.75,-4.5
51451155510,20.125,3.125,10.9375
51451177753,4.625,-25.875,23.3125
51451186725,-11.1875,-43.3125,25.25
51451207834,-24.4375,-41.625,17
51451231724,-10.6875,-23.8125,4.4375
51451254294,-0.4375,0.5,-8.4375
51451267882,6.25,19.75,-16.4375
51451290297,21.4375,20.4375,-14.25
51451306743,21.3125,9.625,-10.6875
51451329259,22.9375,5.3125,-6.125
51451344315,6.4375,-12.8125,12.625
51451382424,-10.4375,-34.9375,25.25
51451387804,-22.125,-48.6875,29.125
51451404360,-31.0625,-47,21.9375
51451434374,-25.875,-19.25,7.8125
51451455536,-14.1875,9.3125,-9.25
51451464259,11.875,10.6875,-12.5625
51451486724,5.5625,-7.75,-6.125
51451509438,30.125,7.5,-11.9375
51451524030,16.6875,-16.8125,1.625
51451546838,13,-51.375,21.5625
51451569258,-3,-67.6875,30.125
51451584201,-23.9375,-63.5625,28.375
51451606759,-31.875,-35.125,16.25
51451627798,-9,-2.125,-4.125
51451644318,9.125,11.875,-14.125
51451666899,24.75,16.5625,-15.75
51451687819,39,24.1875,-10.9375
51451711793,43.5,9.4375,-1.75
51451734254,39.625,-19.4375,17.3125
51451747868,21.6875,-35.5625,27.6875
51451764262,-7.4375,-23.0625,28.375
51451786719,-30.3125,6.125,14.3125
51451809282,-25,18.125,-0.8125
51451824368,5.0625,23.1875,-4.375
51451861027,30.5,24.375,4.625
51451875379,29.875,8.4375,17.0625
51451883571,24.75,-9.6875,24.0625
51451906805,22,-8.75,17.75
51451927827,5.1875,10.4375,5.25
51451944539,-9.9375,27.875,-1.875
51451966877,-1.8125,27.5,-1.8125
51451989220,17.3125,10.75,9.75
51452011830,8.25,4.6875,17.875
51452026832,-13.5625,-12.1875,37
51452049228,-27.875,-29.3125,49.4375
51452063679,-37.4375,-7.375,30.4375
51452086793,-15.375,29.625,-10.75
51452109252,14.375,42.1875,-25
51452123593,14.75,33.1875,-19.5625
